"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"7872206",7109963111,"EPR7871","NY","PAS","05/12/2014",71,"SUBN","ACURA","T",17140,0,0,20150409,110,110,110,357687,"T401","Q","1030A","","Q","I","W","84th St","5ft N/of 37th Ave",0,408,"j6","","YYYYYYY","","","BLACK",NA,2009,"",0,"23-P","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5331818",1355237518,"C590EA","NJ","PAS","02/03/2014",40,"SUBN","INFIN","P",35030,41730,89180,0,70,70,70,953322,"0070","0000","1058P","","K","F","938","E 5TH ST","",0,408,"D","","BBBBBBB","ALL","ALL","BLACK",0,0,"-",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1530384",7779389509,"FRJ8695","NY","PAS","09/10/2013",40,"SUBN","CHEVR","T",9640,42490,6940,20131006,114,114,114,331777,"T401","N","0230P","","Q","F","22-76","41st St","",0,408,"e2","","YYYYYYY","","","BL",NA,2003,"",6,"H -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7327050",1362108133,"XADA26","NJ","PAS","04/09/2014",14,"VAN","CHEVR","X",52120,13520,26580,0,44,44,44,933259,"0044","0000","0855A","","BX","O","972","MORRIS AVE","",0,408,"C","","BBBBBBB","0700P","0400P","WHITE",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2439250",7714283233,"9BA8258","MD","PAS","10/05/2013",14,"SUBN","CHEVR","T",13610,36750,36770,88880088,30,30,30,353485,"T800","B2","0129A","","NY","F","3628","Broadway","",0,408,"c","","YYYYYYY","","","BLACK",NA,0,"",0,"F -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3211332",7310143486,"ENR4898","NY","PAS","11/21/2013",71,"SUBN","HYUND","T",72630,5830,5930,20150109,78,78,78,357743,"T302","I","1117A","","K","F","119","Prospect Park West","",0,408,"j6","","YYYYYYY","","","BL",NA,2009,"",0,"60 -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1217110",1355606720,"EUF7847","NY","PAS","08/12/2013",98,"","AUDI","P",0,0,0,20150728,6,6,442,907006,"0442","0000","0720P","","NY","O","","C/O WASHINGTON","W 12 ST",0,408,"J3","","BBBBBBB","ALL","ALL","GRY",0,2012,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8776040",7137876912,"FBE9961","NY","PAS","06/06/2014",38,"SUBN","ROVER","T",11440,0,0,20160630,110,110,110,358891,"T401","N","0924P","","Q","I","E","55th Ave","75ft N/of Justice Av",0,408,"h1","","Y","0830A","1000P","GY",NA,2008,"",0,"G 41","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6779520",7929971107,"61768MD","NY","COM","03/31/2014",37,"DELV","ISUZU","T",14590,23130,21690,20140430,5,5,5,348573,"T101","B","0816A","0805A","NY","F","210","Centre St","",20140331,408,"h1","","Y","0730A","0700P","WH",NA,2013,"124-4034",0,"03 1","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6854114",1365113620,"CPD7758","NY","PAS","03/21/2014",46,"SUBN","NISSA","P",24690,36650,36670,20150415,32,32,32,947201,"0032","0000","0901P","","NY","F","685","LENOX AVE","",0,408,"F1","","BBBBBBB","ALL","ALL","RED",0,2003,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
